O_TIMESTAMP	OPEN	HIGH	LOW	CLOSE	VOLUME	C_TIMESTAMP	QUOTE_ASSET_VOLUME	N_OF_TRADES	TAKER_B_ASSET_V	TAKER_Q_ASSET_VOLUME	IGNORE
1502928000000	4261.48000000	4349.99000000	4261.32000000	4349.99000000	82.08886500	1502956799999	353194.33293028	334	64.01372700	275647.42191079	8048.12788573
1502956800000	4333.32000000	4485.39000000	4333.32000000	4352.34000000	238.18188300	1502985599999	1056739.95606691	1106	183.97176600	816473.80921505	8133.19065768
1502985600000	4352.33000000	4369.69000000	4200.74000000	4285.08000000	474.87962900	1503014399999	2044835.76173487	1987	368.26304800	1586095.16947817	8733.91139481
1503014400000	4285.08000000	4340.62000000	4134.61000000	4300.25000000	524.58207200	1503043199999	2239760.30055707	2171	418.30226900	1787986.80576046	9223.82352585
1503043200000	4285.00000000	4371.52000000	4193.70000000	4236.89000000	372.10951300	1503071999999	1595054.39180141	1577	314.18404400	1346445.41513478	9371.62988671
1503072000000	4234.54000000	4297.75000000	3938.77000000	4108.37000000	303.19667900	1503100799999	1252143.61381303	1485	240.38239700	994691.09562284	9384.14140858
1503100800000	4108.37000000	4184.69000000	3933.21000000	4033.47000000	221.26252700	1503129599999	906566.17644095	1078	169.07820100	693622.15277837	9442.59220347
1503129600000	4033.47000000	4100.00000000	3850.00000000	3972.05000000	124.77162000	1503158399999	500140.30490616	801	78.03434300	314076.39214286	9232.31800303
1503158400000	4036.19000000	4149.99000000	3953.40000000	4139.98000000	35.27561600	1503187199999	142777.25407440	274	27.22349800	110303.32516612	9184.08552906
1503187200000	4120.98000000	4156.56000000	4044.00000000	4155.87000000	35.21519300	1503215999999	144629.49866384	354	25.90647200	106427.17330761	9252.69753132
1503216000000	4155.87000000	4211.08000000	4032.62000000	4125.00000000	65.13320900	1503244799999	267949.06889329	396	42.59004100	175282.75637100	9866.10295518
1503244800000	4125.00000000	4185.94000000	4069.13000000	4086.29000000	366.73462000	1503273599999	1517785.82276933	1571	308.29943400	1275691.40405869	10125.41408414
1503273600000	4069.13000000	4119.62000000	3953.40000000	4043.63000000	443.41327200	1503302399999	1799369.19692490	2131	371.45896700	1507741.45470925	10870.05610698
1503302400000	4043.63000000	4088.12000000	3911.79000000	4022.00000000	122.64111000	1503331199999	492783.52053459	933	81.66029600	328902.95706635	11181.53868221
1503331200000	4005.99000000	4070.49000000	3918.80000000	4016.00000000	125.68867800	1503359999999	505078.99656779	908	104.23684400	419018.14138277	11706.76997007
1503360000000	4016.00000000	4016.00000000	3400.00000000	3798.08000000	281.90686500	1503388799999	1070390.17887148	1666	188.64118400	720220.83181073	11936.69980562
1503388800000	3798.08000000	3990.12000000	3750.08000000	3858.23000000	401.08965700	1503417599999	1552462.93876533	2937	180.65842000	697949.71769924	11707.98130638
1503417600000	3858.23000000	4104.82000000	3853.47000000	4040.00000000	283.68833600	1503446399999	1129652.65450370	1891	54.69557700	219017.81983229	11773.27950025
1503446400000	4040.00000000	4127.99000000	4013.89000000	4074.88000000	301.49798700	1503475199999	1229325.71310081	2108	50.70469200	207518.67637424	11859.67684336
1503475200000	4081.63000000	4265.80000000	4057.00000000	4197.05000000	372.38459100	1503503999999	1560422.34864195	3654	165.14294500	694795.01565764	12250.54758856
1503504000000	4226.94000000	4259.58000000	4069.80000000	4114.01000000	327.25398700	1503532799999	1358938.40407692	2867	93.57145500	391253.40316275	12724.37533462
1503532800000	4147.00000000	4204.55000000	4085.01000000	4153.32000000	246.69961000	1503561599999	1021414.90419419	1692	48.71689200	202353.92754135	13163.63412102
